,id,user_name,mentions,hashtags,geo,Time,Text
0,1063582122353598470,helmut_herberth,,#peoplesvote #StopBrexit,,2018-11-16 23:58:33+00:00,Straight from Bannon/Trump playbook via Farage. Oh I long for the day he’s in jail. #peoplesvote #StopBrexit
1,1063581783286079493,JoCorfield,@mikegalsworthy @Scientists4EU,#StopBrexit #NHSvBrexit,,2018-11-16 23:57:12+00:00,"Spotted you, too, @mikegalsworthy! Brilliant. Both of you. Love the giggle half-hidden by the #StopBrexit placard. #NHSvBrexit @Scientists4EU. The PV tsunami is gathering speed. Hooray!"
2,1063581741632405506,Le_Saboteur_,,#StopBrexit #Brexit #FakeNews,,2018-11-16 23:57:02+00:00,Forget the people that are saying we can't #StopBrexit that fact is the EU would lets us stop this act of national self harm called #Brexit. What they are saying is just #FakeNews https://www.independent.co.uk/news/uk/politics/brexit-latest-second-referendum-cancel-eu-president-donald-tusk-theresa-may-a8635676.html
3,1063580783305269248,Sam_BTT,,#StopBrexit #StopBrexitSaveBritain #PeoplesVote,,2018-11-16 23:53:13+00:00,Sign & share... #StopBrexit #StopBrexitSaveBritain #PeoplesVote Petition: STOP BREXIT https://petition.parliament.uk/petitions/226509
4,1063580712140488710,jamescummings,,#StopBrexit #PeoplesVote,,2018-11-16 23:52:56+00:00,"Really ... the Queen was *pleased* was she? Not going ""who the f is this? Why do you keep losing your Brexit secretaries?""?!? #StopBrexit #PeoplesVote"
5,1063580686240673792,StopBrexitMarch,,#StopBrexit,,2018-11-16 23:52:50+00:00,"Keep up the good work, Shouty Man, love it See you Monday. #StopBrexit"
6,1063580086681653248,bitgit,,#stopBrexit,,2018-11-16 23:50:27+00:00,"I hope you're right, perhaps it just needs clarifying as an option around westminster then put me down for ""damn the option to spin the bottle again, let's just stop this game before anyone else gets hurt"" #stopBrexit "
7,1063579856934526977,ActivistIndoor,,#StopBrexit,,2018-11-16 23:49:32+00:00,I may have mentioned this before but you can push the lie that it is May’s Brexit that is bad for Britain. Any Brexit is bad for Britain. If it’s no too much trouble would you mind being an oppositon before we all stop bothering with you and ignore you altogether? #StopBrexit
8,1063579821333200896,Angel2EU,,#Remain #StopBrexit #Corbyn,,2018-11-16 23:49:24+00:00,Thw swing was because of #Remain votes aiming to #StopBrexit #Corbyn betrayed us It is not going to happen again.
9,1063579648100089857,anoncitizenhere,,#May #EURef #PeoplesVote #StopBrexit,,2018-11-16 23:48:43+00:00,"This is why we want to vote on whatever ""deal"" that #May cobbles together, it's NOT a ""second vote"" on the #EURef, it'll be the 1st on THIS 'deal'. #PeoplesVote #StopBrexit"
10,1063578734098358272,Angel2EU,,#EU #StopBrexit,,2018-11-16 23:45:05+00:00,The deal we already have as part of the #EU is the best of all. #StopBrexit is better than Chequers and No Deal.
11,1063578218437971968,AndrewKnight226,,#StopBrexit,,2018-11-16 23:43:02+00:00,No you're right the party after we #StopBrexit should be epic. I'll be bringing beer and fireworks 
12,1063578111143550977,D0NN1EDARK0,@BBCNews @bbcpress @afneil @carolecadwalla,#sexist #stopbrexit #peoplesvote,,2018-11-16 23:42:36+00:00,Journalist criticised for 'sexist' Ocasio-Cortez tweet. Well this is awkward @bbcnews ⁦@bbcpress⁩ have you had a senior journalist delete a recent #sexist tweet? ⁦@afneil⁩ ⁦@carolecadwalla⁩ #stopbrexit #peoplesvote http://www.bbc.co.uk/news/blogs-trending-46233260
13,1063577533306847232,DafyddGwenno,@GwennoDafydd,#PeoplesVote #StopBrexit #StopBrexitSaveBritain,,2018-11-16 23:40:18+00:00,@GwennoDafydd It's pretty clear cut by now. #PeoplesVote #StopBrexit #StopBrexitSaveBritain
14,1063577265462804481,fish_in_a_hat,,#stopbrexit #FinalSay,,2018-11-16 23:39:15+00:00,Fabulous! L:ove it! #stopbrexit #FinalSay
15,1063577104422457344,PaulHolman100,,#PeoplesVoteNow #stopbrexit,,2018-11-16 23:38:36+00:00,"Totally agree with that. It's absolutely why a second referendum is now needed. Terrible deal that no one wants, disastrous no deal brexit or remain. #PeoplesVoteNow #stopbrexit"
16,1063575248572825600,HadwinDave,,#PeoplesVote #Stopbrexit,,2018-11-16 23:31:14+00:00,Is it true that two of your MPs are going to vote in favour of May's deal? #PeoplesVote #Stopbrexit
17,1063575151487406080,BazDriscoll,@RoryStewartUK,#BrexitChaos #StopBrexit #Newsnight #HittingHeadAgainstWall,,2018-11-16 23:30:51+00:00,"If you take the letters of the name ‘Rory Stewart’, subtract some of them, add a few more and rearrange, you get the word ‘Fabrication’. Where the f!*k does he get only 10% want to remain now? #BrexitChaos #StopBrexit #Newsnight #HittingHeadAgainstWall @RoryStewartUK"
18,1063574470563110913,margarance,,#Brexit #StopBrexit #PeoplesVote,,2018-11-16 23:28:08+00:00,"You bet your devious, dishonest, fraudulent, unpopular #Brexit we are. You didn’t respect the democratic process, so there’s no democratic result to respect. #StopBrexit with or (preferably) without a #PeoplesVote"
19,1063573332879126529,LoubinWally,,#ByeByeBritain #stopbrexit #peoplesvote,,2018-11-16 23:23:37+00:00,"Sheila from Sheffield... ranting.. Today on R2.. ""My grandson and his family can't get a council house because of Polish people""... I am so sad for this country that I used to call my own.. but what makes me is.. THE LIES ... #ByeByeBritain #stopbrexit #peoplesvote"
20,1063573285164728320,Wembley1988,,#StopBrexit,,2018-11-16 23:23:26+00:00,at the expense of the UK’s future... her delusion must be strong #StopBrexit
21,1063573184505671681,greenbellyjake,@GaryGibbonBlog,#stopbrexit,,2018-11-16 23:23:02+00:00,Can Britain still slam the brakes on Brexit? https://www.channel4.com/news/by/gary-gibbon/blogs/can-britain-still-slam-the-brakes-on-brexit via @garygibbonblog #stopbrexit
22,1063572768556498944,ivanwhite48,,#StopBrexit,,2018-11-16 23:21:22+00:00,#StopBrexit 
